iter	Logloss
0	0.6720105377
1	0.6542276818
2	0.6296634789
3	0.6099179282
4	0.587330561
5	0.5711840145
6	0.5540955294
7	0.5346006627
8	0.5167374896
9	0.5038851873
10	0.4879884338
11	0.4739763387
12	0.4612022944
13	0.4466742924
14	0.4357346376
15	0.4234089444
16	0.413498876
17	0.4001176272
18	0.3898360061
19	0.3801517012
20	0.368454228
21	0.3596855413
22	0.3496075488
23	0.3415667424
24	0.3363237867
25	0.3303495916
26	0.3242871397
27	0.318028979
28	0.3099443743
29	0.3024784915
30	0.2948177633
31	0.2889383618
32	0.2817121655
33	0.2765658303
34	0.2717463592
35	0.2672688922
36	0.262117897
37	0.2570950178
38	0.2538559498
39	0.249126159
40	0.2455788919
41	0.2419557132
42	0.2380701005
43	0.2335964811
44	0.2295090633
45	0.2270230579
46	0.2228166205
47	0.2184083724
48	0.2157192812
49	0.2134025631
50	0.2115059415
51	0.2088950771
52	0.2059233545
53	0.2033121987
54	0.2009539412
55	0.1979948143
56	0.1952359415
57	0.1933026028
58	0.1913001365
59	0.1898850207
60	0.1879470084
61	0.1861425204
62	0.1844062946
63	0.1824769428
64	0.1804994749
65	0.1791400191
66	0.1779597833
67	0.1763447176
68	0.17522621
69	0.1728302815
70	0.1712138828
71	0.1699398791
72	0.1685900533
73	0.1673696285
74	0.1660443466
75	0.1643996889
76	0.1635048728
77	0.1622299058
78	0.1610392603
79	0.160128646
80	0.1591480268
81	0.1580287517
82	0.1572641328
83	0.1560499501
84	0.1551255165
85	0.153982164
86	0.15326147
87	0.1523911453
88	0.1512578527
89	0.1505253337
90	0.1497308043
91	0.1493256551
92	0.1481106376
93	0.1472227872
94	0.1466431045
95	0.1458971552
96	0.1453443059
97	0.1446075212
98	0.1437553856
99	0.1430733647
100	0.1424578079
101	0.141817417
102	0.1412070567
103	0.1407695681
104	0.13999887
105	0.1393927901
106	0.1386973846
107	0.1378586072
108	0.1371933173
109	0.1365426398
110	0.1360229781
111	0.1355144192
112	0.1349320067
113	0.1343850023
114	0.1340926634
115	0.1334030896
116	0.1329372637
117	0.1324269275
118	0.1321658427
119	0.1317668218
120	0.1314087695
121	0.1309544023
122	0.1305928099
123	0.1301570171
124	0.1297710012
125	0.1291800051
126	0.1286610065
127	0.128299135
128	0.1279389231
129	0.1276689025
130	0.1270700931
131	0.1266200075
132	0.1262046903
133	0.1257578316
134	0.1254834416
135	0.1251928684
136	0.1249208524
137	0.1247430939
138	0.1245045438
139	0.1240556186
140	0.1238057012
141	0.1235760314
142	0.1231567788
143	0.122769621
144	0.1225499613
145	0.122240642
146	0.1220279786
147	0.1217748615
148	0.1214060255
149	0.1210754686
150	0.1209024306
151	0.1205474273
152	0.1202474159
153	0.1200937978
154	0.119743788
155	0.1195059182
156	0.1192007983
157	0.1190278566
158	0.1187780461
159	0.1184676954
160	0.1182813849
161	0.1180133566
162	0.1178172136
163	0.117677333
164	0.1174720459
165	0.11715775
166	0.1169584377
167	0.1167391085
168	0.116400664
169	0.116153509
170	0.1160161305
171	0.1156284485
172	0.1155273778
173	0.1153253045
174	0.1151577125
175	0.1148473136
176	0.1147063443
177	0.1146148261
178	0.1143223551
179	0.114093576
180	0.1138831115
181	0.113816099
182	0.1136029463
183	0.1133685391
184	0.1132066473
185	0.1130621414
186	0.1127685282
187	0.1126242024
188	0.1123725699
189	0.1122897625
190	0.1121553553
191	0.1119722322
192	0.1118917878
193	0.1117025168
194	0.1116133547
195	0.1115497693
196	0.1114534345
197	0.1113677274
198	0.1110659678
199	0.1108682847
200	0.1107900659
201	0.1107358828
202	0.1105888818
203	0.110356979
204	0.1102473626
205	0.1101450526
206	0.109981322
207	0.1097889923
208	0.1096895089
209	0.1095591332
210	0.1093981013
211	0.1091776122
212	0.1091328497
213	0.1090080377
214	0.1087896281
215	0.108716023
216	0.1085338537
217	0.1084464104
218	0.108376942
219	0.1082273075
220	0.1081509106
221	0.108111553
222	0.1080358445
223	0.1079130533
224	0.1078110459
225	0.1077615418
226	0.1076242886
227	0.1073559778
228	0.1071611847
229	0.1069454686
230	0.1068403056
231	0.1067185048
232	0.1066050859
233	0.1064965154
234	0.1064306165
235	0.1063354034
236	0.1061381696
237	0.1060810628
238	0.1060069384
239	0.1058778777
240	0.1057023684
241	0.1056065987
242	0.1055906718
243	0.1055098251
244	0.105347597
245	0.1053052077
246	0.1052334655
247	0.1051844528
248	0.1051005554
249	0.1050529276
250	0.1049982126
251	0.10491746
252	0.1048611389
253	0.1046568108
254	0.1044891097
255	0.1044275974
256	0.1043405681
257	0.1041903923
258	0.1041582644
259	0.1040473783
260	0.1039548879
261	0.1039318432
262	0.1037970629
263	0.1036361719
264	0.1035672023
265	0.103546745
266	0.103520635
267	0.1033385289
268	0.1032529814
269	0.1031097465
270	0.1030350045
271	0.1029998325
272	0.1029477652
273	0.1027467541
274	0.1026666953
275	0.1026038478
276	0.102545621
277	0.1024506691
278	0.1023743426
279	0.1023131927
280	0.1022942018
281	0.1022028994
282	0.1021194001
283	0.1019119529
284	0.1018634093
285	0.101802849
286	0.1017000619
287	0.1015897156
288	0.1015297641
289	0.1014805936
290	0.101426877
291	0.1012744342
292	0.1012390342
293	0.1012033749
294	0.1010585225
295	0.1009969249
296	0.1009292255
297	0.100755783
298	0.1006516515
299	0.1004724491
300	0.1002940197
301	0.1002730379
302	0.1002138888
303	0.1001543982
304	0.1000664494
305	0.100039877
306	0.09992492019
307	0.0998796135
308	0.09983292327
309	0.09972720073
310	0.09962180722
311	0.09955765111
312	0.09949157559
313	0.09942589166
314	0.09930475455
315	0.09922829059
316	0.09916099138
317	0.09904857814
318	0.09899961351
319	0.0989535633
320	0.09890181345
321	0.09882411756
322	0.09873628646
323	0.09869341765
